dataset,beta,lambda,lambdaBIC,minNodeSize,ACC,NMI,Purity,Fscore,anchorTotal,targetView,iter,algoTime,anchorTime,totalTime
Reuters-1200,1,1000,2,8,0.449305555555556,0.229512078884255,0.454583333333333,0.344068459129165,15,3,26,2.9292285,4.3029784,7.2322069
Reuters-1200,1,10000,2,8,0.449305555555556,0.229512078884255,0.454583333333333,0.344068459129165,15,3,26,2.9871464,4.3029784,7.2901248
Reuters-1200,10,100,2,8,0.428194444444444,0.234142699851377,0.4425,0.312683503446048,15,3,27,2.9403686,4.3029784,7.243347
Reuters-1200,10,1000,2,8,0.428194444444444,0.234142699851377,0.4425,0.312683503446048,15,3,27,2.88706,4.3029784,7.1900384
Reuters-1200,10,10000,2,8,0.428194444444444,0.234142699851377,0.4425,0.312683503446048,15,3,27,2.8967504,4.3029784,7.1997288
Reuters-1200,100,100,2,8,0.344583333333333,0.165432386393394,0.369583333333333,0.262871304331265,15,3,10,1.1758538,4.3029784,5.4788322
Reuters-1200,100,1000,2,8,0.344583333333333,0.165432386393394,0.369583333333333,0.262871304331265,15,3,10,1.1658795,4.3029784,5.4688579
Reuters-1200,100,10000,2,8,0.344583333333333,0.165432386393394,0.369583333333333,0.262871304331265,15,3,10,1.1767659,4.3029784,5.4797443
Reuters-1200,1,100,2,16,0.367777777777778,0.17945091997099,0.372916666666667,0.321375487842167,13,3,20,2.4153901,3.7203541,6.1357442
Reuters-1200,1,1000,2,16,0.367777777777778,0.17945091997099,0.372916666666667,0.321375487842167,13,3,20,2.2501232,3.7203541,5.9704773
Reuters-1200,1,10000,2,16,0.367777777777778,0.17945091997099,0.372916666666667,0.321375487842167,13,3,20,2.4077353,3.7203541,6.1280894
Reuters-1200,10,100,2,16,0.34,0.160242642758192,0.350138888888889,0.254327730352122,13,3,16,1.9326332,3.7203541,5.6529873
Reuters-1200,10,1000,2,16,0.34,0.160242642758192,0.350138888888889,0.254327730352122,13,3,16,1.7800388,3.7203541,5.5003929
Reuters-1200,10,10000,2,16,0.34,0.160242642758192,0.350138888888889,0.254327730352122,13,3,16,1.7761359,3.7203541,5.49649
Reuters-1200,100,100,2,16,0.253333333333333,0.0918936999851186,0.291666666666667,0.243861433579072,13,3,10,1.2231223,3.7203541,4.9434764
Reuters-1200,100,1000,2,16,0.253333333333333,0.0918936999851186,0.291666666666667,0.243861433579072,13,3,10,1.2225436,3.7203541,4.9428977
Reuters-1200,100,10000,2,16,0.253333333333333,0.0918936999851186,0.291666666666667,0.243861433579072,13,3,10,1.1882108,3.7203541,4.9085649
Reuters-1200,1,100,2,32,0.282222222222222,0.104564638599485,0.309444444444444,0.278711655389492,10,3,11,1.4653556,2.8277275,4.2930831
