dataset,parameter,level,meanACC,stdACC,maxACC,meanNMI,meanAnchorTotal,minAnchorTotal,maxAnchorTotal,nearOptimalRatio
MFeat_2Views,minNodeSize,20,0.62675,0.148692103773324,0.8515625,0.609896917789914,135.666666666667,98,155,0
MFeat_2Views,minNodeSize,40,0.690393518518519,0.156505379092357,0.8995,0.658862495613845,72.6666666666667,70,74,0.333333333333333
Reuters-1200,beta,1,0.402561728395062,0.0575616994340112,0.481944444444444,0.206886889548707,54.5555555555556,10,164,0
Reuters-1200,beta,10,0.449166666666667,0.0590467834326719,0.530277777777778,0.254331731884064,54.5555555555556,10,164,0
Reuters-1200,beta,100,0.426013374485597,0.0964695202326935,0.590972222222222,0.228846551797333,54.5555555555556,10,164,0.111111111111111
Reuters-1200,lambda,100,0.425977366255144,0.0753837014771119,0.590972222222222,0.230167678518749,54.5555555555556,10,164,0.037037037037037
Reuters-1200,lambda,1000,0.425576131687243,0.0757948912921394,0.590972222222222,0.22983924141556,54.5555555555556,10,164,0.037037037037037
Reuters-1200,lambda,10000,0.426188271604938,0.075924329376971,0.590972222222222,0.230058253295795,54.5555555555556,10,164,0.037037037037037
Reuters-1200,lambdaBIC,0.5,0.453220164609053,0.0676086256673487,0.590972222222222,0.261448988470646,113.666666666667,71,164,0.111111111111111
Reuters-1200,lambdaBIC,1,0.469012345679012,0.0377213088107178,0.530277777777778,0.26139258724291,37.3333333333333,26,49,0
Reuters-1200,lambdaBIC,2,0.355509259259259,0.0603201478214051,0.449305555555556,0.167223597516548,12.6666666666667,10,15,0
Reuters-1200,minNodeSize,8,0.444238683127572,0.0715280761347644,0.590972222222222,0.245577384213088,76,15,164,0.111111111111111
Reuters-1200,minNodeSize,16,0.408585390946502,0.0775191359938976,0.514722222222222,0.216316042423839,52,13,106,0
Reuters-1200,minNodeSize,32,0.424917695473251,0.0736866048476024,0.530277777777778,0.228171746593177,35.6666666666667,10,71,0
Wikifea,beta,1,0.312490307823525,0.0987141663751345,0.435101186322401,0.182017288905026,153.166666666667,54,439,0
Wikifea,beta,10,0.251961050373472,0.065985733470343,0.390963014654571,0.150450810884451,153.166666666667,54,439,0
Wikifea,beta,100,0.402411090434468,0.10267371652638,0.537566876017679,0.343266117878827,153.166666666667,54,439,0.222222222222222
Wikifea,lambda,100,0.327493797007056,0.108365972977634,0.532914631309607,0.231348747698295,153.166666666667,54,439,0.0833333333333333
Wikifea,lambda,1000,0.319090680003101,0.110164038402212,0.537566876017679,0.222683272195357,153.166666666667,54,439,0.0555555555555556
Wikifea,lambda,10000,0.320277971621307,0.110369457362196,0.535240753663643,0.221702197774652,153.166666666667,54,439,0.0833333333333333
Wikifea,lambdaBIC,0.5,0.281691263256744,0.0976051166243172,0.497906489881368,0.181415461196047,261.666666666667,117,439,0
Wikifea,lambdaBIC,1,0.30297959043016,0.0711452451686246,0.431263084438241,0.204137338803268,189.666666666667,112,270,0
Wikifea,lambdaBIC,2,0.340266470238557,0.10732243521846,0.532914631309607,0.242263996905487,100.333333333333,76,123,0.111111111111111
Wikifea,lambdaBIC,4,0.364212607583159,0.133894693666909,0.537566876017679,0.27316215998627,61,54,66,0.185185185185185
Wikifea,minNodeSize,10,0.320880501925512,0.0990218380783683,0.526692254012561,0.213025611585655,224.5,66,439,0.0555555555555556
Wikifea,minNodeSize,20,0.33018337597891,0.086799399384852,0.50063968364736,0.232749367234692,145.25,63,229,0
Wikifea,minNodeSize,40,0.315798570727042,0.136587660905614,0.537566876017679,0.229959238847957,89.75,54,117,0.166666666666667
