dataset,beta,lambda,lambdaBIC,minNodeSize,ACC,NMI,Purity,Fscore,anchorTotal,targetView,iter,algoTime,anchorTime,totalTime
Caltech101-all,100,1000,1,160,0.215578521434821,0.447983130013178,0.420658355205599,0.194262191287756,260,5,51,28.8464298,21.0807,49.9271298
Caltech101-all,100,10000,1,160,0.212516404199475,0.448706027685051,0.422954943132108,0.188923148410875,260,5,51,28.7995616,21.0807,49.8802616
Caltech101-all,10,100,2,40,0.27545384951881,0.437267930648866,0.412483595800525,0.227433428870348,730,5,51,38.3638183,25.3643228,63.7281411
Caltech101-all,10,1000,2,40,0.26544728783902,0.443447747356673,0.414479440069991,0.216385598535371,730,5,51,38.5754331,25.3643228,63.9397559
Caltech101-all,10,10000,2,40,0.26878280839895,0.445028865638985,0.420631014873141,0.218527892110033,730,5,51,37.4903923,25.3643228,62.8547151
Caltech101-all,100,100,2,40,0.234990157480315,0.465496895437839,0.444444444444444,0.19717564284111,730,5,51,38.2724376,25.3643228,63.6367604
Caltech101-all,100,1000,2,40,0.233896544181977,0.466446394255657,0.444335083114611,0.196034358622725,730,5,51,35.8020889,25.3643228,61.1664117
Caltech101-all,100,10000,2,40,0.234798775153106,0.467310398088259,0.447670603674541,0.194532255668269,730,5,51,35.5411913,25.3643228,60.9055141
Caltech101-all,10,100,2,80,0.273813429571304,0.431514214963196,0.408273184601925,0.225946750200952,447,5,51,33.8189222,43.6790883,77.4980105
Caltech101-all,10,1000,2,80,0.27370406824147,0.440348247194775,0.417541557305337,0.219277748541704,447,5,51,33.5681077,43.6790883,77.247196
Caltech101-all,10,10000,2,80,0.270751312335958,0.443029683007948,0.420603674540682,0.221501808711527,447,5,51,33.5648608,43.6790883,77.2439491
Caltech101-all,100,100,2,80,0.229440069991251,0.456541492926214,0.432031933508311,0.191197416630031,447,5,51,32.559008,43.6790883,76.2380963
Caltech101-all,100,1000,2,80,0.236193132108486,0.462098904425273,0.436816491688539,0.202053463829175,447,5,51,32.1227621,43.6790883,75.8018504
Caltech101-all,100,10000,2,80,0.232256124234471,0.458698879291263,0.435176071741032,0.194523690696437,447,5,51,32.8263647,43.6790883,76.505453
Caltech101-all,10,100,2,160,0.263943569553806,0.438410796738676,0.407890419947507,0.231966560786444,251,5,51,30.963898,20.7340572,51.6979552
Caltech101-all,10,1000,2,160,0.260580708661417,0.44262270977694,0.416174540682415,0.228667524477223,251,5,51,30.8203676,20.7340572,51.5544248
Caltech101-all,10,10000,2,160,0.260334645669291,0.442013033772113,0.41625656167979,0.235906004344303,251,5,51,30.7893485,20.7340572,51.5234057
Caltech101-all,100,100,2,160,0.20838801399825,0.446775285154429,0.417459536307962,0.190785808347047,251,5,51,28.7237049,20.7340572,49.4577621
Caltech101-all,100,1000,2,160,0.212215660542432,0.446331311365679,0.41661198600175,0.18910832613162,251,5,51,27.8268002,20.7340572,48.5608574
Caltech101-all,100,10000,2,160,0.215277777777778,0.446346997470025,0.418580489938758,0.19058986858446,251,5,51,27.693723,20.7340572,48.4277802
Caltech101-all,10,100,4,40,0.260498687664042,0.434692990958929,0.411936789151356,0.224884576910043,383,5,51,31.6275751,21.6370794,53.2646545
Caltech101-all,10,1000,4,40,0.258475503062117,0.435925677773781,0.414588801399825,0.228005740463409,383,5,51,31.3633249,21.6370794,53.0004043
Caltech101-all,10,10000,4,40,0.254620516185477,0.43999567477456,0.420138888888889,0.22941658442181,383,5,51,31.2589511,21.6370794,52.8960305
Caltech101-all,100,100,4,40,0.21875,0.447374354403962,0.421642607174103,0.196090012463666,383,5,51,29.4568179,21.6370794,51.0938973
Caltech101-all,100,1000,4,40,0.215715223097113,0.446381760773497,0.421615266841645,0.190996428942498,383,5,51,30.1831018,21.6370794,51.8201812
Caltech101-all,100,10000,4,40,0.215961286089239,0.446900260391605,0.421615266841645,0.190392429224415,383,5,51,29.2292957,21.6370794,50.8663751
Caltech101-all,10,100,4,80,0.265884733158355,0.427636542540191,0.410077646544182,0.220381909551021,319,5,51,30.685541,21.2681746,51.9537156
Caltech101-all,10,1000,4,80,0.246363735783027,0.430132713872714,0.411089238845144,0.211083354985192,319,5,51,30.7177543,21.2681746,51.9859289
Caltech101-all,10,10000,4,80,0.243301618547682,0.430850248629648,0.407070209973753,0.209254706176381,319,5,51,30.5443985,21.2681746,51.8125731
Caltech101-all,100,100,4,80,0.209481627296588,0.450989974043163,0.424868766404199,0.188514435260375,319,5,51,28.7519735,21.2681746,50.0201481
Caltech101-all,100,1000,4,80,0.215605861767279,0.44735212663247,0.421587926509186,0.197614491989157,319,5,51,28.3623119,21.2681746,49.6304865
Caltech101-all,100,10000,4,80,0.213555336832896,0.448151872777926,0.420658355205599,0.194655645083236,319,5,51,28.7010756,21.2681746,49.9692502
Caltech101-all,10,100,4,160,0.246117672790901,0.425310748257983,0.396735564304462,0.222616121393773,218,5,51,29.8636443,20.2901581,50.1538024
Caltech101-all,10,1000,4,160,0.231107830271216,0.42171108392536,0.396626202974628,0.203253673932648,218,5,51,29.5473286,20.2901581,49.8374867
Caltech101-all,10,10000,4,160,0.23384186351706,0.427268938221352,0.39922353455818,0.216568978350346,218,5,51,30.0665026,20.2901581,50.3566607
Caltech101-all,100,100,4,160,0.212352362204724,0.437259860292482,0.409776902887139,0.192842627866308,218,5,51,25.2943897,20.2901581,45.5845478
Caltech101-all,100,1000,4,160,0.204232283464567,0.438402303488249,0.408464566929134,0.186446518974864,218,5,51,25.2734782,20.2901581,45.5636363
Caltech101-all,100,10000,4,160,0.209782370953631,0.438004084320498,0.408655949256343,0.193260641193605,218,5,51,25.5083301,20.2901581,45.7984882
