dataset,beta,lambda,lambdaBIC,minNodeSize,ACC,NMI,Purity,Fscore,anchorTotal,targetView,iter,algoTime,anchorTime,totalTime
MFeat_2Views,1,100000,2,20,0.4958125,0.473535024270053,0.51575,0.332594874851087,98,1,51,2.0000323,0.3327747,2.332807
MFeat_2Views,10,1000,2,20,0.5934375,0.595112668064784,0.62875,0.433387038820439,98,1,51,2.1510781,0.3327747,2.4838528
MFeat_2Views,10,10000,2,20,0.5880625,0.590641597367265,0.62575,0.432632884750422,98,1,51,2.1338816,0.3327747,2.4666563
MFeat_2Views,10,100000,2,20,0.5880625,0.590641597367265,0.62575,0.432632884750422,98,1,51,2.1543728,0.3327747,2.4871475
MFeat_2Views,100,1000,2,20,0.820375,0.792543600539865,0.8345625,0.742290724501373,98,1,40,1.4382187,0.3327747,1.7709934
MFeat_2Views,100,10000,2,20,0.820375,0.792543600539865,0.8345625,0.742290724501373,98,1,40,1.3672505,0.3327747,1.7000252
MFeat_2Views,100,100000,2,20,0.820375,0.792543600539865,0.8345625,0.742290724501373,98,1,40,1.3407342,0.3327747,1.6735089
MFeat_2Views,1,1000,2,40,0.47275,0.452339935469697,0.5000625,0.322261751376634,70,1,51,2.003707,0.2566838,2.2603908
MFeat_2Views,1,10000,2,40,0.5196875,0.514347823914933,0.5538125,0.371058924639164,70,1,51,1.9347476,0.2566838,2.1914314
MFeat_2Views,1,100000,2,40,0.5196875,0.514347823914933,0.5538125,0.371058924639164,70,1,51,1.9412844,0.2566838,2.1979682
MFeat_2Views,10,1000,2,40,0.6845,0.671953113607617,0.703875,0.548467996206542,70,1,51,1.9337116,0.2566838,2.1903954
MFeat_2Views,10,10000,2,40,0.6975,0.683437984541218,0.7169375,0.562246762819461,70,1,51,1.9449338,0.2566838,2.2016176
MFeat_2Views,10,100000,2,40,0.6975,0.683437984541218,0.7169375,0.562246762819461,70,1,51,1.9743843,0.2566838,2.2310681
MFeat_2Views,100,1000,2,40,0.867125,0.799546974233095,0.869875,0.777109563007228,70,1,23,0.8221627,0.2566838,1.0788465
MFeat_2Views,100,10000,2,40,0.867125,0.799546974233095,0.869875,0.777109563007228,70,1,23,0.8022868,0.2566838,1.0589706
MFeat_2Views,100,100000,2,40,0.867125,0.799546974233095,0.869875,0.777109563007228,70,1,23,0.8032519,0.2566838,1.0599357
