beta,lambda,ACC_mean,ACC_std,NMI_mean,NMI_std,Purity_mean,Purity_std,Fscore_mean,Fscore_std,Precision_mean,Precision_std,Recall_mean,Recall_std,AR_mean,AR_std,Entropy_mean,Entropy_std,Time_mean,Time_std,Iter_mean,Iter_std,FinalObj_mean,FinalObj_std,SelectedTargetView,TargetView_mode,AnchorCounts_mode,AnchorCounts_mean
30,1000000,0.176721011533309,0,0.416437531223207,0,0.232401084719182,0,0.11663518373014,0,0.121708108978636,0,0.111987997206522,0,0.111637124820799,0,7.7599480699965,0,78.4412314,0,51,0,146990880,0,1,1,"53,70,45,79","53,70,45,79"
32,20000,0.163926552749371,0,0.396701585423304,0,0.219338713366223,0,0.110794631521974,0,0.114868545470216,0,0.107020812573413,0,0.105730781622689,0,7.74164955805276,0,78.9818874,0,51,0,146893552,0,1,1,"53,70,45,79","53,70,45,79"
32,30000,0.167621785865978,0,0.401635236310158,0,0.222164864246741,0,0.114405755142801,0,0.11886614637198,0,0.110283154099712,0,0.109372737371829,0,7.74522881892233,0,77.6829682,0,51,0,146893552,0,1,1,"53,70,45,79","53,70,45,79"
32,50000,0.1703466527265,0,0.40509986810882,0,0.226173751102689,0,0.116073180647963,0,0.121051629834224,0,0.111515316322105,0,0.111070529075621,0,7.75194663378603,0,79.6434358,0,51,0,146893552,0,1,1,"53,70,45,79","53,70,45,79"
32,80000,0.169248864638808,0,0.403126992398601,0,0.223638383376352,0,0.115420917827805,0,0.120412959865274,0,0.110843340205541,0,0.110415284422213,0,7.7524114788994,0,78.4828827,0,51,0,146893552,0,1,1,"53,70,45,79","53,70,45,79"
32,120000,0.166380239814422,0,0.39948054777538,0,0.221468945012579,0,0.11138310217877,0,0.116091910361467,0,0.107049787090017,0,0.106348502576825,0,7.75052611349325,0,79.1000623,0,51,0,146893552,0,1,1,"53,70,45,79","53,70,45,79"
32,200000,0.165226908877054,0,0.400912161037966,0,0.220737086287451,0,0.113816549728577,0,0.118570129417405,0,0.109433550018123,0,0.108792678235577,0,7.74905999976094,0,78.3176882,0,51,0,146893552,0,1,1,"53,70,45,79","53,70,45,79"
32,300000,0.168206619400791,0,0.406826466140025,0,0.225990786421407,0,0.115072432254813,0,0.120579307274939,0,0.110059683141666,0,0.110084567366723,0,7.75634460309653,0,79.2390645,0,51,0,146893552,0,1,1,"53,70,45,79","53,70,45,79"
32,600000,0.166514196098932,0,0.399389608553713,0,0.221125886235175,0,0.111307396621052,0,0.115812267691611,0,0.10715448797812,0,0.106264147594682,0,7.74751599915787,0,80.6074849,0,51,0,146893552,0,1,1,"53,70,45,79","53,70,45,79"
32,1000000,0.16651092887248,0,0.400956680592171,0,0.221857744960303,0,0.110991290660933,0,0.115865317140061,0,0.106514612863013,0,0.105961369335716,0,7.7524206559362,0,78.2015748,0,51,0,146893552,0,1,1,"53,70,45,79","53,70,45,79"
34,20000,0.159790244061816,0,0.400220477125186,0,0.214859345901264,0,0.112469026470412,0,0.120437069071564,0,0.105511374769922,0,0.107576772704642,0,7.79674992612327,0,79.1581423,0,51,0,157119488,0,1,1,"53,70,45,79","53,70,45,79"
34,30000,0.15977717515601,0,0.399971577507163,0,0.214522821576763,0,0.112316623230109,0,0.12032829121641,0,0.105327602898615,0,0.107425866821152,0,7.79656855702835,0,79.335715,0,51,0,157119488,0,1,1,"53,70,45,79","53,70,45,79"
34,50000,0.155738883261999,0,0.398424892421766,0,0.213464240206489,0,0.107539421258968,0,0.115156363762889,0,0.100887958052753,0,0.102618027751994,0,7.79460841876934,0,79.9490436,0,51,0,157119488,0,1,1,"53,70,45,79","53,70,45,79"
34,80000,0.155738883261999,0,0.398424892421766,0,0.213464240206489,0,0.107539421258968,0,0.115156363762889,0,0.100887958052753,0,0.102618027751994,0,7.79460841876934,0,79.4164385,0,51,0,157119488,0,1,1,"53,70,45,79","53,70,45,79"
34,120000,0.155738883261999,0,0.398424892421766,0,0.213464240206489,0,0.107539421258968,0,0.115156363762889,0,0.100887958052753,0,0.102618027751994,0,7.79460841876934,0,79.6720117,0,51,0,157119488,0,1,1,"53,70,45,79","53,70,45,79"
34,200000,0.155268402652988,0,0.398507653299647,0,0.213585127585193,0,0.104469851723816,0,0.1120587142794,0,0.0978602846628104,0,0.0995395867514099,0,7.79599442372008,0,80.0838004,0,51,0,157119488,0,1,1,"53,70,45,79","53,70,45,79"
34,300000,0.155506910183945,0,0.398823944706252,0,0.214036004835495,0,0.105356730327288,0,0.112754289789944,0,0.0988814091576195,0,0.100419932108241,0,7.79295572965024,0,78.9255548,0,51,0,157119488,0,1,1,"53,70,45,79","53,70,45,79"
34,600000,0.157254876335479,0,0.397958655762701,0,0.212591890743947,0,0.109820062914614,0,0.117834704902075,0,0.102839793462956,0,0.104922246874349,0,7.79724181840225,0,79.3894384,0,51,0,157119488,0,1,1,"53,70,45,79","53,70,45,79"
34,1000000,0.157254876335479,0,0.397958655762701,0,0.212591890743947,0,0.109820062914614,0,0.117834704902075,0,0.102839793462956,0,0.104922246874349,0,7.79724181840225,0,78.9956463,0,51,0,157119488,0,1,1,"53,70,45,79","53,70,45,79"
36,20000,0.167703466527265,0,0.420474305814616,0,0.229522658215441,0,0.120342382870731,0,0.13030534208545,0,0.111825456348636,0,0.115543030035097,0,7.81142889404237,0,78.9929945,0,51,0,153006864,0,1,1,"53,70,45,79","53,70,45,79"
36,30000,0.168193550494985,0,0.420261745670019,0,0.230303525337341,0,0.118799094659943,0,0.128763071738185,0,0.11028126366701,0,0.113996595006548,0,7.81241097017036,0,79.0065605,0,51,0,153006864,0,1,1,"53,70,45,79","53,70,45,79"
36,50000,0.166974875028588,0,0.418987064117317,0,0.230934100042474,0,0.117008274893719,0,0.127200225441419,0,0.1083483689383,0,0.112211440952704,0,7.81771130057731,0,80.0384106,0,51,0,153006864,0,1,1,"53,70,45,79","53,70,45,79"
36,80000,0.165929362564119,0,0.418019600273786,0,0.230094422844447,0,0.116216169409208,0,0.126360317802499,0,0.107602702300838,0,0.111415295836489,0,7.81740049271433,0,78.7600318,0,51,0,153006864,0,1,1,"53,70,45,79","53,70,45,79"
36,120000,0.166798444800209,0,0.417654101444016,0,0.230391740451531,0,0.11626487244257,0,0.12621241288701,0,0.107793490585827,0,0.111456367595116,0,7.81565955209372,0,79.6489604,0,51,0,153006864,0,1,1,"53,70,45,79","53,70,45,79"
36,200000,0.166798444800209,0,0.417654101444016,0,0.230391740451531,0,0.11626487244257,0,0.12621241288701,0,0.107793490585827,0,0.111456367595116,0,7.81565955209372,0,79.5819695,0,51,0,153006864,0,1,1,"53,70,45,79","53,70,45,79"
36,300000,0.166798444800209,0,0.417654101444016,0,0.230391740451531,0,0.11626487244257,0,0.12621241288701,0,0.107793490585827,0,0.111456367595116,0,7.81565955209372,0,79.5467433,0,51,0,153006864,0,1,1,"53,70,45,79","53,70,45,79"
36,600000,0.166798444800209,0,0.417654101444016,0,0.230391740451531,0,0.11626487244257,0,0.12621241288701,0,0.107793490585827,0,0.111456367595116,0,7.81565955209372,0,79.7105934,0,51,0,153006864,0,1,1,"53,70,45,79","53,70,45,79"
36,1000000,0.165850949129284,0,0.417122163539524,0,0.229738295161238,0,0.116109209592224,0,0.126017156598833,0,0.107668213064853,0,0.111299991520829,0,7.81626521710668,0,80.1097228,0,51,0,153006864,0,1,1,"53,70,45,79","53,70,45,79"
40,20000,0.171029503054857,0,0.394327635708916,0,0.225409220113046,0,0.109137282640175,0,0.1154378457381,0,0.103515186900174,0,0.104164039526568,0,7.77582600342402,0,79.6699328,0,51,0,148863072,0,1,1,"53,70,45,79","53,70,45,79"
40,30000,0.171006632469696,0,0.394463603244223,0,0.225226255431764,0,0.109409033964497,0,0.115614946785812,0,0.103851284021881,0,0.104432502739112,0,7.77484127177011,0,78.2228994,0,51,0,148863072,0,1,1,"53,70,45,79","53,70,45,79"
40,50000,0.166929133858268,0,0.391761512572507,0,0.221482013918385,0,0.106723273531162,0,0.113177146811294,0,0.10097688109869,0,0.101749225524624,0,7.78095169014923,0,80.167106,0,51,0,148863072,0,1,1,"53,70,45,79","53,70,45,79"
40,80000,0.169709543568465,0,0.392229761414978,0,0.222926128009932,0,0.108093489195897,0,0.114255470872365,0,0.102570079612665,0,0.103111187636874,0,7.77455791655151,0,78.162939,0,51,0,148863072,0,1,1,"53,70,45,79","53,70,45,79"
40,120000,0.170330316594243,0,0.392367035504353,0,0.223481556506681,0,0.108764746426061,0,0.115170294529518,0,0.103048031895962,0,0.103795037782901,0,7.77730378537383,0,78.506142,0,51,0,148863072,0,1,1,"53,70,45,79","53,70,45,79"
40,200000,0.170624366974875,0,0.392956495855303,0,0.223948769889241,0,0.109061363645319,0,0.115408128153346,0,0.103386782894347,0,0.104090059442972,0,7.77579881031049,0,79.3686157,0,51,0,148863072,0,1,1,"53,70,45,79","53,70,45,79"
40,300000,0.173339432156043,0,0.394443166846677,0,0.227059169471036,0,0.109798310134427,0,0.116509171618094,0,0.10383034384426,0,0.104844836215754,0,7.78084160920315,0,78.4402105,0,51,0,148863072,0,1,1,"53,70,45,79","53,70,45,79"
40,600000,0.170951089620022,0,0.394927364816946,0,0.225670598229163,0,0.10914400923551,0,0.115083816180087,0,0.103801478391082,0,0.104154082410764,0,7.77002752241232,0,78.957668,0,51,0,148863072,0,1,1,"53,70,45,79","53,70,45,79"
40,1000000,0.170026464534257,0,0.394495467989243,0,0.224050053909236,0,0.108552006453417,0,0.114373597689265,0,0.103307166594018,0,0.103555101948493,0,7.76970873546744,0,78.7589234,0,51,0,148863072,0,1,1,"53,70,45,79","53,70,45,79"
