beta,lambda,ACC_mean,ACC_std,NMI_mean,NMI_std,Purity_mean,Purity_std,Fscore_mean,Fscore_std,Precision_mean,Precision_std,Recall_mean,Recall_std,AR_mean,AR_std,Entropy_mean,Entropy_std,Time_mean,Time_std,Iter_mean,Iter_std,FinalObj_mean,FinalObj_std,TargetView_mode
10,10000,0.188384733158355,0.143758273005404,0.361322501139512,0.14660948910837,0.331447944006999,0.154050914363227,0.156473503989626,0.125639836681637,0.245841683183367,0.177940782630536,0.115126742308617,0.0962227213600613,0.141812471101141,0.12616849171926,6.48335236445841,0.139594015975059,146.28736715,35.8142412486905,50,1.4142135623731,33876194.2373756,48130.0582623785,5
10,100000,0.188129921259843,0.143397914562673,0.361252089409385,0.146509911884673,0.331494969378828,0.154117418281842,0.155705117370522,0.124553173903754,0.24461461276988,0.176205443009795,0.114566816914376,0.0954308672736086,0.141027405231997,0.125058240919761,6.48371050800574,0.139087524513156,81.80234805,6.5598616410048,50,1.4142135623731,33876194.2373756,48130.0582623785,5
10,1000000,0.188129921259843,0.143397914562673,0.361252089409385,0.146509911884673,0.331494969378828,0.154117418281842,0.155705117370522,0.124553173903754,0.24461461276988,0.176205443009795,0.114566816914376,0.0954308672736086,0.141027405231997,0.125058240919761,6.48371050800574,0.139087524513156,134.9184794,45.341075708821,50,1.4142135623731,33876194.2373756,48130.0582623785,5
100,100,0.162469378827647,0.111738956096163,0.365942887879197,0.153897614948596,0.337003499562555,0.159754785336578,0.132884012548219,0.0971162550357482,0.241420228664516,0.174773006546203,0.0916788419120614,0.0672406095556828,0.119285583909851,0.0985115702080853,6.60382288317667,0.01001036679406,153.9251177,7.04470291126487,43,5.65685424949238,35193061.1776877,134975.579709314,5
100,1000,0.163116797900262,0.111992598948557,0.365684756545523,0.157594982132081,0.338513779527559,0.15853451576012,0.131179038865627,0.0999244854935272,0.237998828332712,0.179227428834086,0.0905502854196871,0.0692708669795863,0.117552273009067,0.101325859782187,6.60306933481979,0.0123062271047057,150.2392657,4.26004159505479,43,5.65685424949238,35193061.1776877,134975.579709314,5
100,10000,0.163278652668416,0.113984623301506,0.364224646160347,0.160278494909004,0.337497812773403,0.162049943830193,0.1312319366544,0.101356171352276,0.23815873500981,0.181833599237207,0.090577056520827,0.070257006084596,0.117614017018966,0.102775617399748,6.6035055770076,0.0124166586236689,153.5920664,6.03568472761409,43,5.65685424949238,35193061.1776877,134975.579709314,5
100,100000,0.163278652668416,0.113984623301506,0.364224646160347,0.160278494909004,0.337497812773403,0.162049943830193,0.1312319366544,0.101356171352276,0.23815873500981,0.181833599237207,0.090577056520827,0.070257006084596,0.117614017018966,0.102775617399748,6.6035055770076,0.0124166586236689,153.0292521,6.45175738853003,43,5.65685424949238,35193061.1776877,134975.579709314,5
100,1000000,0.163278652668416,0.113984623301506,0.364224646160347,0.160278494909004,0.337497812773403,0.162049943830193,0.1312319366544,0.101356171352276,0.23815873500981,0.181833599237207,0.090577056520827,0.070257006084596,0.117614017018966,0.102775617399748,6.6035055770076,0.0124166586236689,151.5546577,5.97045172288657,43,5.65685424949238,35193061.1776877,134975.579709314,5
1000,100,0.170007655293088,0.127197250667378,0.366208805032862,0.174406716110208,0.344162292213473,0.182780607205137,0.134187367900399,0.116488418394518,0.247075097028758,0.212494318588793,0.0921122925388296,0.0802364815870851,0.120825344695303,0.118116278788524,6.61986236305688,0.0133283386971146,109.2922773,2.20744015123256,10,0,43713482.316226,1175382.84139726,5
1000,1000,0.171089238845144,0.123381781662157,0.371030681389912,0.166464566668195,0.348468941382327,0.17464856990094,0.136664099947452,0.112364424478666,0.251727922222061,0.203470807992041,0.0938025665264411,0.0775986135326575,0.123389898793306,0.113814390715918,6.62304911230596,0.0213382962540758,107.57286085,1.42290029846929,10,0,43713482.316226,1175382.84139726,5
